,Bialystok,Bydgoszcz,Gdansk,Gorzow Wielkopolski,Katowice,Kielce,Krakow,Lublin,Lodz,Olsztyn,Opole,Poznan,Rzeszow,Szczecin,Torun,Warszawa,Wroclaw,Zielona Gora
Bialystok,0,2000,3000,1000,2000,1000,4000,6000,4000,2000,1000,2000,1000,1000,1000,30000,2000,1000
Bydgoszcz,2000,0,10000,1000,3000,1000,5000,2000,7000,1000,1000,10000,1000,3000,7000,10000,4000,2000
Gdansk,3000,10000,0,1000,3000,1000,6000,3000,6000,4000,1000,7000,1000,3000,5000,20000,5000,2000
Gorzow Wielkopolski,1000,1000,1000,0,1000,0,1000,1000,1000,0,0,2000,0,2000,0,4000,1000,1000
Katowice,2000,3000,3000,1000,0,2000,20000,3000,7000,1000,4000,5000,2000,1000,1000,10000,6000,1000
Kielce,1000,1000,1000,0,2000,0,5000,2000,3000,1000,1000,2000,1000,0,1000,10000,1000,0
Krakow,4000,5000,6000,1000,20000,5000,0,7000,10000,1000,3000,7000,5000,1000,2000,30000,9000,1000
Lublin,6000,2000,3000,1000,3000,2000,7000,0,5000,1000,1000,3000,3000,1000,1000,20000,3000,1000
Lodz,4000,7000,6000,1000,7000,3000,10000,5000,0,1000,1000,10000,1000,2000,3000,30000,7000,1000
Olsztyn,2000,1000,4000,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,10000,1000,1000
Opole,1000,1000,1000,0,4000,1000,3000,1000,1000,0,0,2000,1000,1000,1000,4000,5000,1000
Poznan,2000,10000,7000,2000,5000,2000,7000,3000,10000,1000,2000,0,1000,4000,3000,20000,10000,3000
Rzeszow,1000,1000,1000,0,2000,1000,5000,3000,1000,1000,1000,1000,0,0,0,5000,1000,0
Szczecin,1000,3000,3000,2000,1000,0,1000,1000,2000,1000,1000,4000,0,0,1000,6000,1000,2000
Torun,1000,7000,5000,0,1000,1000,2000,1000,3000,1000,1000,3000,0,1000,0,5000,1000,1000
Warszawa,30000,10000,20000,4000,10000,10000,30000,20000,30000,10000,4000,20000,5000,6000,5000,0,20000,3000
Wroclaw,2000,4000,5000,1000,6000,1000,9000,3000,7000,1000,5000,10000,1000,1000,1000,20000,0,4000
Zielona Gora,1000,2000,2000,1000,1000,0,1000,1000,1000,1000,1000,3000,0,2000,1000,3000,4000,0
